Company name;Avatar;Founded;Headquaters;Ownership;Employees;Company URL;Type;Describtion
2K Czech ;http://upload.wikimedia.org/wikipedia/en/4/47/2K_Czech_Logo.svg;01/01/1997;rno and Prague, Czech Republic;Subsidiary of 2K Games;50;http://www.2kczech.com/;Developer;2K Czech (previously known as Illusion Softworks) is a game development company located in Brno and Prague, Czech Republic. The company focuses mostly on first-person and third-person shooter games. Since the foundation in 1997, till the sale to Kush Games (a subsidiary of Take-Two Interactive) ten years later, its owners and key managers were founders Petr Vochozka and Jan Kudera.    In September 2008, the company was renamed 2K Czech.  As of October 2010, it had 188 employees.
2K Games;http://upload.wikimedia.org/wikipedia/en/thumb/5/5b/2k_logo.svg/343px-2k_logo.svg.png;1/25/1997;New York City/Novato, California, United States;Subsidiary of Take-Two Interactive;580;http://www.2kgames.com/;Publisher & Developer;"2K is a global developer, marketer, distributor and publisher of interactive entertainment software games.  2K Games is a subsidiary of Take-Two Interactive, which also owns Rockstar Games notable for the Grand Theft Auto series. It was created on January 25, 2005 after Take-Two acquired developer Visual Concepts and its wholly owned subsidiary Kush Games from Sega for US$24 million. 

The name ""2K Games"" comes from Visual Concepts' sports game lineup typically referred to as the 2K series, which were originally published exclusively for the Dreamcast console. 2K Games is headquartered in Novato, California. The label publishes a wide variety of console and PC titles developed both internally and externally."
2K Marin;http://upload.wikimedia.org/wikipedia/en/d/db/2kmarinlogo.png;01/01/2007;Novato, California, United States;Subsidiary of 2K Games;100;http://www.2kmarin.com/;Developer;"2K Marin is an American and Australian video game developer based in Novato, California, United States and Canberra, Australia. The studio's main focus according to press releases is to develop new intellectual property and co-develop products with other 2K studios. 

The Novato studio was spun off from Irrational Games (briefly known as 2K Boston/2K Australia) in 2007, after the release of BioShock. The Canberra studio, 2K Australia, was originally part of Irrational Games. It joined 2K Marin in 2010, upon the announcement of its new XCOM game"
2K Sports ;http://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/2K_Sports_Logo.png/755px-2K_Sports_Logo.png;1/25/1997;New York City, New York, United States;Subsidiary of Take-Two Interactive;250;http://www.2ksports.com/;Developer;2K Sports is a subsidiary of Take-Two Interactive Software, Inc. It comprises a single development studio, Visual Concepts, which was purchased from Sega in the year 2005. 2K Sports mainly develops and publishes American sports video games such as NBA 2K series. 2K Sports mainly competes with EA Sports.
3000AD;http://www.3000ad.com/wp-content/uploads/3000ad_logo.png;01/01/1989;Florida, USA;Independent;25;http://www.3000ad.com;Developer;"3000AD, Inc located in sunny South Florida, was founded in 1989 (incorporated in 1992) by Derek Smart as an independent game development company. Beginning with just a few books on game programming, some knowledgable contacts, and a vision, Derek has developed one of the most recognized and longest running brands in computer gaming history.

In 2006, Battlecruiser, the company’s first and most recognized IP, celebrated its 10-year anniversary.

The 3000AD story is one of pushing the envelope of technical capability, continually leading the space simulation game market in sheer scope and ambition. Battlecruiser games are known for seamlessly scaling from immense planet-orbiting battlestations down to hand-to-hand combat on land, air, and sea.

To date, 3000AD has developed a total of fourteen games across three franchise properties, namely Battlecruiser, Universal Combat and All Aspect Warfare."
38 Studios;http://upload.wikimedia.org/wikipedia/en/a/a9/38_Studios_Logo.jpg;01/01/2006;Providence, Rhode Island, U.S.;Closed May 24, 2012;0;http://www.38studios.com/;Developer;38 Studios, formerly Green Monster Games, was the entertainment and IP development company founded by Major League Baseball pitcher Curt Schilling and named for his jersey number. In February 2012 the company released its first title Kingdoms of Amalur: Reckoning, a single-player action role-playing game for several platforms. On May 24, 2012, 38 Studios laid off all of its employees with reports stating that the studio is no more.
3D People ;http://www.mobygames.com/images/i/06/32/471582.jpeg;01/01/2001;Kosice, Slovak Republic;Private company;20;http://3dpeople.de;Developer;"3D People is 3rd party game development company established in 2001 in Kosice, Slovak Republic. 3D People’s team is constantly growing up and expanding activities – we work together with well established publishers and distributors to bring fun to your monitors.

There are several titles being developed by 3D People in various genres – our intention and focus is to create titles with great gameplay value. Look forward for the news! "
3D Realms ;http://upload.wikimedia.org/wikipedia/en/0/03/3drealms.png;01/01/1987;Garland, Texas, United States;Privately held company;15;http://www.3drealms.com/;Publisher & Developer;"3D Realms (legal name Apogee Software, Ltd.) is a current video game publisher and former video game developer based in Garland, Texas, United States, established in 1987. It is best known for popularizing the shareware distribution model and as the creator of franchises on the PC such as Duke Nukem, and also the publisher of other franchises such as Commander Keen and Wolfenstein 3D.

While the company is known as ""3D Realms"", the legal name of the company is Apogee Software, Ltd. The name ""3D Realms"" was initially created as a branding label in July 1994 for use by Apogee which would be dedicated to just 3D games (as Apogee was then known for several styles of games). However, shortly after this, 3D games started to dominate the industry, and Apogee decided to direct its focus on this style of game; as such, ""Apogee"" was abandoned as a trade name in late 1996.  In July 2008, however, it announced that the brand Apogee Software would be revived with new games, but licensed to an external company, Apogee Software, LLC."
3Division Entertainment;http://3division.net/newweb/images/companylogo.gif;01/01/2003;Kosice, Slovak Republic;Private company;10;http://3division.net;Developer;"3DIVISION is game development company located in Kosice, Slovakia. The core team was founded in 2003.

The result of our development efforts was arcade flying action from World War II period - Air Conflicts. Together with folks from 3D People we finished work on the title in early 2006 and released Air Conflicts across the globe.

In 2007 a new flying action game Attack on Pearl Harbor was released. Game was powered by improved Air Conflicts technology. Game was released by LEGENDO Entertainment.

In 2008-2009 we worked with 3D People teams on two Nintendo Wii projects - WWII Aces and Pearl Harbor: Trilogy.

In later 2010 we released small experimental project project for Xbox 360 Indie Games - Table Soccer X.

With slovak based developer Games-Farm and german publisher bitComposer, we released in 2011 arcade flying title - Air Conflicts: Secret Wars. Game is available on PC, XBOX360 and PS3.

During spring 2012 czech based publisher and developer Grip-Games, planning to release our common project for PS3 & PS Vita - Foosball 2012.

Currently working with Games-Farm on Air Conflicts: Pacific Carriers, arcade flying title. Game will be available on PC, XBOX360 and PS3 in Q4 2012"
4A Games ;http://upload.wikimedia.org/wikipedia/en/f/f4/4A_Games_logo.jpg;01/01/2006;Kiev, Ukraine;Private company;40;http://www.4a-games.com/;Developer;4A Games is a video game development company in Ukraine, which is known for Metro 2033.
4HEAD Studios ;http://media.giantbomb.com/uploads/0/628/532762-4head_logo_large.gif;01/01/2002;Hamburg, Germany;It is a subsidiary of dtp entertainment ;50;http://www.cranberry-production.com/;Developer;"In 2007, dtp entertainment bought 4HEAD Studios and changed it into Cranberry Production. The new company's first release was Mata Hari.

Cranberry Production has since produced the sequels to The Black Mirror, namely Black Mirror II in 2009 and Black Mirror III in 2011"
4X Studios ;;;;;;;;
505 Games;http://upload.wikimedia.org/wikipedia/en/b/b2/505_company_logo.png;01/01/2003;Milan, Italy;Private company;150;http://505games.com/;Developer;505 Games, formerly known as 505 Game Street, is an Italian video game publishing division of Italian company Digital Bros. group founded in 2006.  The company also maintains a UK division in Milton Keynes and a North American division in Los Angeles opened in May 2008.
7 Studios ;http://www.gamasutra.com/db_area/images/news2001/32968/7s.jpg;01/01/1999;Los Angeles;Subsidiary of Activision;0;;Developer;"Activision originally purchased 7 Studios while racing Genius Products to be the first to bring a turntable game to the market.

That acquisition soon became a factor in a legal battle between the two companies as Genius, along with turntable maker Numark, sued Activision, alleging the buy was part of a conspiracy to delay their DJ Hero rival, Scratch: The Ultimate DJ -- which 7 Studios had been building -- and steal trade secrets.

7 Studios counter-sued, alleging that Genius failed to provide adequate communication, support or materials for Scratch. Activision said it bought 7 Studios with the intention of financially rescuing the ailing developer.

Founded in 1999, the Los Angeles-based 7 Studios was one of Inc. Magazine's 500 fastest-growing companies in 2007, a year that saw median revenue of $9.4 million. It's worked on titles including including Fantastic Four: Rise of the Silver Surfer, Shrek The Third, and Pirates of the Caribbean: The Legend of Jack Sparrow. "
8monkey Labs ;http://media.giantbomb.com/uploads/2/27672/1268200-8monkeys_large.png;01/01/2005;Cedar Falls, IA ;Independent;25;http://www.8monkeylabs.com/;developer;8monkey Labs is an independent game developer based out of Cedar Fall, Iowa. They developed the Marmoset Engine which powered their first release, Darkest of Days. 
A2A Simulations;http://upload.wikimedia.org/wikipedia/en/e/e0/A2Alogo.png;01/01/2005;"Simsbury, CT,
United States of America";Independent;50;http://www.a2asimulations.com/;Developer;"Air to Air Simulations (A2A) specializes in the development and publication of flight simulations, strategy games, visual effects and sound. The company is a North American based company in Simsbury, Connecticut.

Formerly known as ""Shockwave Productions Inc."" (see History below), the company built its reputation for designing high quality flight simulation products. A2A also has designed its own proprietary Air-Combat computer game engine called the ""Merlin Air Combat Engine"", which is used in A2A's 2005 release, Battle of Britain II: Wings of Victory. The release was met with many favorable reviews, and won several awards including the SimHQ Best of 2006 award."
Acclaim Games ;http://upload.wikimedia.org/wikipedia/commons/0/02/Acclaim_entertainment.png;01/01/2006;Beverly Hills, California, U.S.;Defunct 2010;0;http://www.acclaim.com/;Developer;"Acclaim Games, based in Beverly Hills, California, was a private online video game company that offered free Massively multiplayer online role-playing games on its website upon registration. The company was founded in 2006 and is the successor of Acclaim Entertainment in terms of brand name. After Acclaim Entertainment filed for bankruptcy, former Activision CEO Howard Marks purchased the ""Acclaim"" name in September 2004 for a reported $100,000.  He, along with Neil Malhotra, created a new company, naming it ""Acclaim Games"" and taking a totally different direction from the previous company.

While Acclaim Games primarily focused on bringing to North America and Europe online games originally from Asia, it also gave the opportunity to its registered members to submit video games they'd created. Acclaim Games relied on In-game advertising and items sales for revenues, while releasing the games themselves for free.

The company released fourteen games: The Chronicles of Spellborn, Kogamu, BOTS (which was its launching title), 9Dragons, 2Moons, Ponystars, Dance Online, My Diva Doll, Tribal Nations and Prize Potato. As of December 2007, the company had 5 million registered accounts and 500,000 active players across all games. 

On May 19, 2010 Playdom acquired the company.  Three months later, on August 27, and almost six years to the day that Acclaim Entertainment went out of business, Playdom closed Acclaim Games  The 9Dragons game was sold to GamersFirst, with all other games being discontinued."
ACE Team ;http://www.gamesetwatch.com/2010/07/14/aceteam1.PNG;01/01/2002;Santiago, Chile;Independent;120;http://www.aceteam.cl/;Developer;ACE Team is an independent entertainment software developer based in Santiago, Chile. ACE Team has licensed the Source Engine to develop and distribute its debut game Zeno Clash. Most of the members of the team have experience working on PC games, the Xbox Live Arcade platform and game modifications for several titles.
Action Forms ;http://www.mobygames.com/images/i/40/16/449566.gif;01/01/1995;Kiev, Ukraine;Independent;50;http://www.action-forms.com/;Developer;Action Forms is a Ukrainian game development company, based in Kiev, Ukraine.
Activision Blizzard;http://upload.wikimedia.org/wikipedia/commons/b/be/Activisionblizzard.jpg;12/02/2007;Santa Monica, California, USA;Public;5000;http://www.activisionblizzard.com/;Publisher;"Activision Blizzard, Inc., formerly Activision, Inc. (NASDAQ: ATVI) is the American holding company for Activision and Blizzard Entertainment. The company is majority owned by French conglomerate Vivendi SA and was created through the merger of Activision and Vivendi Games, announced on December 2, 2007,  in a deal worth USD$18.8 billion.  The deal closed July 9, 2008. The company believed that the merging of the two companies would create ""the world's largest and most subtle pure-play video game publisher"".  It believes that it is the only publisher that has ""leading market positions across all categories"" of the video game industry."
Adhesive Games ;http://mb.cision.com/Public/2097/9260675/9cef63f4618ac55e_org.png;01/01/2010;Los Angeles, CA;Independent;10;http://www.adhesivegames.com;Developer;Adhesive Games is a small indie game studio located in Los Angeles, CA. Their current project is Hawken, a multiplayer mech FPS game 
Aeon Electronic Entertainment;http://www.mobygames.com/images/i/25/09/449159.png;01/01/1996;;Independent;2;http://www.aeongames.com/;Developer;
AGEOD ;http://www.matrixgames.com/images/companies/ageod.gif;01/01/2005;Grenoble (Meylan), France;Subsidiary of Paradox Interactive;11;http://www.ageod.com/;Developer;Paradox France (also known as AGEOD and AGE Studio) is a developer and publisher of PC games. The company is incorporated in France and has its head office located in Grenoble. The company specializes in developing its own history oriented strategy video games built with its proprietary engine AGE (Adaptive Game Engine), but also publishes third party titles. AGEOD's main goal is offering to players original cultural and gaming creations developed by small independent studios and producers that have trouble finding an outlet within the traditional organization of the market.
Aion Team Development Dept;http://upload.wikimedia.org/wikipedia/en/7/7f/Nclogo_leftright.svg;01/01/2005;Seoul, South Korea;Subsidiary of Ncsoft;150;http://www.ncsoft.net/;Developer;
Airtight Games ;http://upload.wikimedia.org/wikipedia/ru/c/c3/%D0%9B%D0%BE%D0%B3%D0%BE%D1%82%D0%B8%D0%BF_%D0%BA%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D0%B8_Airtight_Games.gif;01/01/2004;Redmond, Washington;Independent;20;http://www.airtightgames.com/;Developer;Airtight Games is an independent video game developer founded in 2004 that is made up of several former members of FASA Studio, Will Vinton Studios and Microsoft, as well as several other studios.[citation needed] The key members include president and creative director Jim Deal, art director Matt Brunner, technical director Jared Noftle and co-founder Ed Fries.[citation needed] Their first title was Dark Void for Microsoft Windows, PlayStation 3 and Xbox 360. It was also going to be released earlier, but the date was rescheduled.  They are currently working on a first-person puzzle game with Square Enix as publisher entitled Quantum Conundrum.
Akella;http://media.giantbomb.com/uploads/0/56/184943-akella_logo_large.jpg;01/01/1993;Moscow ;Private company;250;http://en.akella.com/;Publisher & Developer;"Founded in 1993 and headquartered in Moscow, Akella has become a leading developer, publisher, and distributor of PC console games and multimedia products on the Russian and CIS market.

Akella is a Russian software company specializing in the development, publishing and distribution of computer games and multimedia products. The founders of Akella met in 1993 and decided to start a company together, in 1995 Akella was born. The company comprises of five in-house development teams, a publishing house, a distribution center, a localization team and a quality assurance department; in total, some 300 people are employed by Akella.

The name comes from Rudyard Kipling's Jungle Book character, wolves' pack leader Akela.

Originally Akella translated and sold pirated versions of the games, it's first officially licensed and translated game was Ubisoft developed POD (Published in 1997). During it's pirate days Akella was known for high quality translation and voice over of games such as: Full Throttle, Leisure Suit Larry: Love for Sail!, The 7th Guest and The 11th Hour"
Alientrap Games Inc.;http://upload.wikimedia.org/wikipedia/en/d/d3/Alientrap_Games_logo.png;01/01/2002;Saskatoon, Saskatchewan, Canada;Independent;50;http://www.alientrap.org/;Developer;Alientrap Games is an independent video game developer led by Lee Vermeulen and Jesse McGibney. It has released the games Nexuiz and Capsized, and is currently developing a new title, Apotheon, as of 2012
Altar Games;http://upload.wikimedia.org/wikipedia/en/6/61/Altar_Games.png;01/01/1997;Brno, Czech Republic ;Independent;25;http://www.altargames.com/;Developer;Altar Games, previously known as Altar Interactive, is a video game development company founded in 1997 in Brno, Czech Republic. The company is a member of IDEA Games, a marketing and commerce supporting association founded in 2005 with Bohemia Interactive and Black Element Software. September 30, 2010 Altar Games was acquired by fellow IDEA Games member Bohemia Interactive. Despite this acquisition, Bohemia Interactive promises that the acquired companies, including Altar Games, will continue to operate individually.
Amanita Design ;http://upload.wikimedia.org/wikipedia/en/d/d6/Amanita_Design_Logo.png;01/01/2003;Brno, Czech Republic ;Independent;30;http://amanita-design.net/;Developer;Amanita Design is an independent Czech video game developing company that was founded in 2003 by Jakub Dvorský.  The company has made one Webby Award-winning game (Samorost 2),  as well as educational and advertising minigames and animations, all using Adobe Flash. Clients include BBC, Nike and The Polyphonic Spree. In 2009, Amanita Design released the award-winning game Machinarium. Botanicula was released in April 2012 as both a standalone purchase as well as the subject of the Humble Botanicula Debut. They are now working on Samorost 3 (the follow-up to Samorost) and Osada (an interactive music video) 
Animation Arts ;;;;;50;http://www.animationarts.de/;Developer;
Ankama Games ;http://holograma9.com/AnkamaLogo.jpg;5/15/2001;Paris, France;Public;450;http://www.ankama.com/;Publisher & Developer;"Ankama Games is a French company, focused on the design of Massive Multiplayer Online Role Playing Games (Dofus, Dofus Arena and Wakfu). The company was founded by Anthony Roux, Camille Chafer, and Emmanuel ""Manu"" Darras. Ankama Games is a subsidiary of Ankama Group. The company name comes from their own names : ANthony, KAmille, Manu."
Arc System Works;http://upload.wikimedia.org/wikipedia/en/0/04/Arc_system_works.jpg;05/01/1988;Yokohama, Japan ;Public;95;http://www.arcsystemworks.com/;Publisher & Developer;Arc System Works (アークシステムワークス Āku Shisutemu Wākusu?) is a video game developer and publisher based in Yokohama, Japan. It was founded by Minoru Kidooka in 1988. Arc System Works is best known for its arcade 2D fighting game, Guilty Gear and its sequels.
ArenaNet;http://www.worldstopbrands.com/_mm/_d/_ext2/39111/big_Arenanet01.gif;01/01/2000;Bellevue, Washington, U.S;Subsidiary of Ncsoft;270;http://www.arena.net/;Developer;"ArenaNet is a video game developer and part of NCsoft Corporation, founded in 2000 by Mike O'Brien, Patrick Wyatt and Jeff Strain and located in Bellevue, Washington. They are the developers of the episodic Competitive online role-playing game series Guild Wars.

The founders of ArenaNet were former employees of Blizzard Entertainment who played important roles in developing the highly successful video games Warcraft, StarCraft, Diablo, Diablo II, and the Battle.net gaming network. Their new studio was briefly called Triforge, Inc.  before changing its name to ArenaNet and being acquired by NCsoft.

On 10 September 2008, NCsoft announced that all their North American and European subsidiaries, including ArenaNet, were to be governed by a new division named NC West (a tentative name), headquartered in Seattle, Washington.  ArenaNet will no longer report directly to NCsoft Korea.  Three of ArenaNet's executives left ArenaNet to assume leadership positions in this new organization: Chris Chung became its CEO, Jeff Strain its president, and Patrick Wyatt its CTO. Guild Wars 2 will continue under the direction of Mike O'Brien, who remains at ArenaNet.  In August 2009, Jeff Strain quit and later announced he was forming a new game company."
Arkane Studios ;http://upload.wikimedia.org/wikipedia/en/a/ad/Arkane_Studios.png;01/01/1999;Lyon, France ;Subsidiary of ZeniMax Media ;100;http://www.arkane-studios.com/;Developer;"Arkane Studios is a video game developer based in Lyon, France. It was founded in 1999, and released its first game, Arx Fatalis, in 2002. Arkane Studios opened an Austin, Texas-based office in July 2006. 

In December 2006, the company announced its new first-person shooter title, The Crossing, which was later put on hold. In July 2009, 2K Marin announced that Arkane was signed up to help with BioShock 2 development, more specifically ""design, animation, and art"". 

Between 2006 and 2007, the company was working in conjunction with Valve Software to develop a game in the Half-Life series called ""Return to Ravenholm.""  The project has since been cancelled and its existence has been confirmed by Valve employee Marc Laidlaw. 

In August 2010, the company was acquired by ZeniMax Media."
Arrowhead Game Studios ;http://media.giantbomb.com/uploads/9/99911/1471693-screen_shot_2010_08_19_at_21.55.03_large.png;01/01/2008;Västerbotten, Sweden ;Private company;20;http://arrowheadgamestudios.com/;Developer;"Arrowhead Game Studios AB is a Swedish developer of Xbox 360/PC game Magicka.
Arrowhead Game Studios is a game developing company from the northern parts of Sweden.  The members of Arrowhead Game Studios had originally developed Magicka as a student project  and as a result the studio was created after Magicka had won  ""Game of the Year"" for Swedish Game Awards of 2008.   
 
The studio has finished and release of Magicka for the PC and XBOX360, and brought out several DLC packages. "
Ascaron Entertainment ;http://i90.photobucket.com/albums/k271/gogoblender/Ascaron.jpg;01/01/1992;Germany;Defunct 2009;0;;Developer;Ascaron Entertainment was a video game developer based in Germany. Founded as Ascon and later renamed in October 1996 due to the possible confusion,h the Swiss company Ascom AG,[citation needed] the company produced titles primarily for the PC until it was made insolvent in 2009. 
Asobo Studio ;http://upload.wikimedia.org/wikipedia/en/0/0c/Asobo-logo-gif-300x115.png;01/01/2002;Bordeaux, France ;Private company;85;http://www.asobostudio.com/;Developer;Asobo Studio is a French video game development company based in Bordeaux, France, that was founded in 2002 by 12 experimented video game developers, combining passion, talent and professionalism. The studio is known for having developed 13 video games for both consoles and PC, including video game adaptations of Pixar Animation Studios movies: Toy Story 3, Ratatouille, Up and WALL•E. Asobo Studio also developed an open world racing game for publisher Codemasters named Fuel, which was released in 2009 and more recently, in 2012, Kinect Rush: A Disney-Pixar Adventure, published by Microsoft.
Aspyr Media;http://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Aspyr_Media_Logo.svg/521px-Aspyr_Media_Logo.svg.png;01/01/1996;Austin, Texas;Private company;50;http://www.aspyr.com/;Developer;"Aspyr Media, Inc. Is an Austin, Texas based company that specializes in porting Windows games to Mac OS. Aspyr Media, Inc. is the leading publisher of Mac games, bringing blockbuster gaming franchises including Call of Duty®, Sid Meier’s Civilization®, Star Wars®, and DOOM® to Mac computers around the world. Headquartered in Austin, TX, Aspyr develops, markets and sells games for the Mac which are delivered through physical retail and digital download services. Aspyr has been in business since 1996, and as of 2003 owns 60 percent of the Mac entertainment market. Aspyr has worked with partners like Universal, Paramount, Warner Bros., LucasArts, Electronic Arts, Activision, Eidos and ZeniMax Media.
In recent years, it has begun porting console games to Windows and Game Boy Advance and publishing games, such as Wideload's Stubbs the Zombie in ""Rebel Without a Pulse"", for Mac OS, Windows, and the Xbox. In addition, Aspyr has produced and distributes several albums and documentaries."
